,trade_id,currency,entry_date,exit_date,days_held,ois_cc_entry,spread_cc_annual,funding_cc,swap5_cc_entry,fx_local_entry,fx_gbp_entry,fx_local_exit,fx_gbp_exit,borrowed_usd,equity_usd,borrowed_gbp,interest_gbp,repay_gbp,repay_usd,bond_entry_price_local,n_bonds,bond_exit_price_local,bond_accrued_local,bond_proceeds_local,bond_proceeds_usd,bond_pnl_usd,borrow_cost_usd,total_pnl_usd
75,76,RepTurkey,2011-06-15,2011-06-21,6,0.005123,0.005,0.010123,0.09438466908062997,1.599714,0.616849,1.606876,0.616314,8000000.0,2000000.0,4934792.0,821.2447566749969,4935613.244756675,8008277.022356583,100.0,159971.4,134.4311147847262,0.16271080959811035,21531162.71167989,13399392.80422378,3399392.8042237796,8277.022356582806,3391115.781867197
76,77,RepTurkey,2011-06-22,2011-06-28,6,0.005155,0.005,0.010155,0.09347915919336475,1.614451,0.620984,1.644812,0.62577,8000000.0,2000000.0,4967872.0,829.363580324135,4968701.363580324,7940139.929335576,100.0,161445.1,133.25325990063055,0.1610757043612352,21539090.753181458,13095168.781101706,3095168.7811017055,-59860.07066442445,3155028.85176613
77,78,RepTurkey,2011-06-29,2011-07-05,6,0.005306999999999999,0.005,0.010307,0.09422524866453327,1.633582,0.622984,1.626633,0.62191,8000000.0,2000000.0,4983872.0,844.4896546612838,4984716.489654661,8015173.40074072,100.0,163358.2,133.9709547982246,0.16242283217052417,21911787.129621614,13470639.73841771,3470639.7384177092,15173.400740720332,3455466.337676989
78,79,RepTurkey,2011-07-06,2011-07-12,6,0.0052049999999999996,0.005,0.010204999999999999,0.09201769648591679,1.633491,0.625102,1.652505,0.629221,8000000.0,2000000.0,5000816.0,838.974378527153,5001654.974378527,7948963.836837179,100.0,163349.1,132.44009777814756,0.1584398203678743,21659851.77803366,13107283.656045616,3107283.6560456157,-51036.16316282097,3158319.8192084366
79,80,RepTurkey,2011-07-13,2011-07-19,6,0.0051990000000000005,0.005,0.010199,0.09623447810828013,1.65035,0.622968,1.660767,0.620344,8000000.0,2000000.0,4983744.0,835.6186220397628,4984579.618622039,8035186.313758236,100.0,165035.0,134.371207594651,0.16605566820690273,22203357.242585752,13369339.132211654,3369339.1322116535,35186.313758236356,3334152.818453417
80,81,RepTurkey,2011-07-20,2011-07-26,6,0.0052380000000000005,0.005,0.010238,0.10290394287738261,1.660558,0.619412,1.708999,0.609624,8000000.0,2000000.0,4955296.0,834.0261321865737,4956130.026132187,8129814.485867004,100.0,166055.8,137.8417859215361,0.17816701758024733,22919013.701267313,13410782.394411767,3410782.394411767,129814.48586700391,3280967.908544763
81,82,RepTurkey,2011-07-27,2011-08-02,6,0.00524,0.005,0.010239999999999999,0.09326837012096297,1.689723,0.611701,1.703676,0.614272,8000000.0,2000000.0,4893608.0,823.8043344630026,4894431.804334463,7967857.568527399,100.0,168972.3,133.46424672346663,0.16069528887327902,22578913.7891917,13253056.208569998,3253056.208569998,-32142.43147260137,3285198.6400425993
82,83,RepTurkey,2011-08-03,2011-08-09,6,0.005352,0.005,0.010352,0.09201532656326465,1.702339,0.609467,1.766294,0.613972,8000000.0,2000000.0,4875736.0,829.7739264664638,4876565.773926467,7942651.739698987,100.0,170233.9,130.0829547983763,0.15843554911955232,22171499.820276577,12552553.436900413,2552553.4369004127,-57348.260301012546,2609901.697201425
83,84,RepTurkey,2011-08-10,2011-08-16,6,0.005278000000000001,0.005,0.010278,0.09396165259128163,1.757589,0.617901,1.780543,0.609401,8000000.0,2000000.0,4943208.0,835.2424769458083,4944043.242476946,8112955.578472871,100.0,175758.9,131.19382297956753,0.16194677228270854,23086945.60023847,12966238.726185478,2966238.7261854783,112955.57847287133,2853283.147712607
84,85,RepTurkey,2011-08-17,2011-08-23,6,0.005385999999999999,0.005,0.010386,0.1075843909405855,1.766718,0.604656,1.781295,0.605839,8000000.0,2000000.0,4837248.0,825.9278901289101,4838073.927890128,7985741.967569154,100.0,176671.8,138.08602307411553,0.1867147943881089,24428893.4901567,13714120.058809292,3714120.0588092916,-14258.032430846244,3728378.091240138
