date,SONIA,5Y
2002-09-02,4.488,4.4571
2002-09-03,3.7235,4.3795
2002-09-04,4.3735,4.3691
2002-09-05,4.5811,4.35
2002-09-06,3.7508,4.3338
2002-09-09,4.521,4.3663
2002-09-10,4.5027,4.4366
2002-09-11,3.8864,4.5025
2002-09-12,3.428,4.4367
2002-09-13,3.3966,4.3973
2002-09-16,3.3965,4.3424
2002-09-17,3.6256,4.3771
2002-09-18,4.0851,4.3184
2002-09-19,3.8864,4.2464
2002-09-20,3.3018,4.277
2002-09-23,3.2697,4.2422
2002-09-24,3.2729,4.2252
2002-09-25,4.5509,4.2626
2002-09-26,4.5577,4.2844
2002-09-27,3.3028,4.2893
2002-09-30,3.3924,4.2009
2002-10-01,3.2969,4.201
2002-10-02,3.3256,4.2675
2002-10-03,3.3619,4.2903
2002-10-04,3.6971,4.3167
2002-10-07,3.9634,4.2461
2002-10-08,3.4691,4.2416
2002-10-09,3.533,4.2436
2002-10-10,4.6415,4.3211
2002-10-11,4.3277,4.3697
2002-10-14,4.8538,4.3864
2002-10-15,4.8749,4.4896
2002-10-16,4.8166,4.5133
2002-10-17,4.8782,4.4986
2002-10-18,4.0209,4.5012
2002-10-21,4.871,4.5047
2002-10-22,3.8505,4.561
2002-10-23,4.5032,4.4799
2002-10-24,4.6515,4.5094
2002-10-25,3.749,4.4634
2002-10-28,3.7415,4.4163
2002-10-29,3.7176,4.3681
2002-10-30,4.4283,4.387
2002-10-31,3.4606,4.3508
2002-11-01,3.2899,4.3946
2002-11-04,3.3026,4.4113
2002-11-05,3.2458,4.4546
2002-11-06,3.2338,4.4624
2002-11-07,3.1871,4.4128
2002-11-08,4.1968,4.3731
2002-11-11,4.5457,4.3301
2002-11-12,3.5527,4.2978
2002-11-13,3.7219,4.3131
2002-11-14,4.0969,4.3628
2002-11-15,3.3345,4.3641
2002-11-18,4.7834,4.3762
2002-11-19,3.7446,4.3593
2002-11-20,3.2715,4.34
2002-11-21,3.2722,4.4367
2002-11-22,3.2751,4.4434
2002-11-25,3.3158,4.4593
2002-11-26,3.2981,4.4318
2002-11-27,3.6599,4.5172
2002-11-28,3.9261,4.544
2002-11-29,4.4397,4.5348
2002-12-02,4.8725,4.5725
2002-12-03,3.9832,4.5347
2002-12-04,4.5919,4.5188
2002-12-05,4.8072,4.476
2002-12-06,4.6956,4.4272
2002-12-09,4.9011,4.3829
2002-12-10,4.0637,4.3819
2002-12-11,3.2831,4.375
2002-12-12,3.3876,4.3312
2002-12-13,3.3078,4.3228
2002-12-16,4.5313,4.3349
2002-12-17,4.4428,4.3533
2002-12-18,4.7895,4.299
2002-12-19,4.6905,4.2851
2002-12-20,4.5162,4.2989
2002-12-23,4.9379,4.289
2002-12-24,4.4865,4.293
2002-12-27,3.9531,4.2106
2002-12-30,4.8405,4.2092
2002-12-31,4.824,4.1811
2003-01-02,4.7694,4.2466
2003-01-03,3.9901,4.2641
2003-01-06,4.4295,4.258
2003-01-07,4.7026,4.2474
2003-01-08,3.8006,4.2007
2003-01-09,4.1469,4.213
2003-01-10,4.1019,4.2044
2003-01-13,3.6876,4.2456
2003-01-14,4.2088,4.2354
2003-01-15,3.8772,4.2424
2003-01-16,3.4931,4.2344
2003-01-17,3.372,4.1341
2003-01-20,3.3835,4.1216
2003-01-21,3.4032,4.1167
2003-01-22,3.9111,4.1073
2003-01-23,3.413,4.1002
2003-01-24,3.3596,4.0222
2003-01-27,3.2985,4.0077
2003-01-28,3.3237,4.012
2003-01-29,3.3254,3.998
2003-01-30,3.5324,4.0457
2003-01-31,4.1671,4.0357
2003-02-03,4.763,4.0508
2003-02-04,3.7844,3.9871
2003-02-05,3.4226,3.9846
2003-02-06,3.4213,3.908
2003-02-07,3.3472,3.873
2003-02-10,4.4122,3.8825
2003-02-11,4.5449,3.9004
2003-02-12,4.3637,3.8185
2003-02-13,3.3922,3.8134
2003-02-14,3.2942,3.8632
2003-02-17,3.542,3.8721
2003-02-18,3.2467,3.8838
2003-02-19,3.1086,3.8432
2003-02-20,3.5975,3.8209
2003-02-21,3.5644,3.8535
2003-02-24,4.0172,3.7997
2003-02-25,3.2192,3.79
2003-02-26,4.1858,3.8159
2003-02-27,3.8172,3.8651
2003-02-28,3.4409,3.8114
2003-03-03,4.1854,3.7466
2003-03-04,3.9708,3.738
2003-03-05,4.4249,3.7327
2003-03-06,4.1882,3.7338
2003-03-07,4.1375,3.6856
2003-03-10,4.5668,3.655
2003-03-11,4.602,3.6555
2003-03-12,4.6657,3.6731
2003-03-13,3.6683,3.8498
2003-03-14,3.1739,3.9198
2003-03-17,4.5224,4.0524
2003-03-18,3.5586,4.0704
2003-03-19,3.4212,4.2259
2003-03-20,3.1187,4.2208
2003-03-21,3.099,4.2808
2003-03-24,3.1247,4.209
2003-03-25,4.049,4.1615
2003-03-26,4.1353,4.1613
2003-03-27,3.6574,4.0978
2003-03-28,3.5685,4.0708
2003-03-31,4.4736,3.9729
2003-04-01,4.4209,3.9824
2003-04-02,3.6347,4.0627
2003-04-03,3.7279,4.112
2003-04-04,3.3924,4.1209
2003-04-07,3.1343,4.2087
2003-04-08,3.1145,4.1706
2003-04-09,3.1651,4.1555
2003-04-10,3.2053,4.0922
